NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,P,S,RedRatio,dA,dB,dC,CE,dC^(1/6),log(dC),Fatigue
870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.3,0.017,0.016,820,0.08,0,0.01,0.731666667,0.215443469,-2,552
870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.27,0.012,0.007,1120,0,0,0.01,0.736333333,0.215443469,-2,524
870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.23,0.014,0.022,530,0.02,0,0,0.733666667,0,-15,508
870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.35,0.016,0.02,740,0.02,0,0.01,0.718666667,0.215443469,-2,550
870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.3,0.017,0.016,820,0.08,0,0.01,0.731666667,0.215443469,-2,497
870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.27,0.012,0.007,1120,0,0,0.01,0.736333333,0.215443469,-2,463
870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.23,0.014,0.022,530,0.02,0,0,0.733666667,0,-15,464
870,855,30,8,30,0,30,0,30,650,60,24,0.36,0.35,0.016,0.02,740,0.02,0,0.01,0.718666667,0.215443469,-2,489
865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.27,0.016,0.02,1270,0.13,0.01,0,0.524,0,-15,416
865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.24,0.015,0.02,1740,0.1,0,0,0.496666667,0,-15,433
865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.27,0.016,0.02,1270,0.13,0.01,0,0.524,0,-15,393
865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.24,0.015,0.02,1740,0.1,0,0,0.496666667,0,-15,389
865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.27,0.016,0.02,1270,0.13,0.01,0,0.524,0,-15,368
865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.24,0.015,0.02,1740,0.1,0,0,0.496666667,0,-15,365
870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.23,0.012,0.017,530,0.01,0.01,0,0.762666667,0,-15,562
870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.29,0.017,0.009,500,0.05,0,0.02,0.746666667,0.271441762,-1.698970004,573
870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.23,0.012,0.017,530,0.01,0.01,0,0.762666667,0,-15,515
870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.29,0.017,0.009,500,0.05,0,0.02,0.746666667,0.271441762,-1.698970004,542
870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.23,0.012,0.017,530,0.01,0.01,0,0.762666667,0,-15,477
870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.29,0.017,0.009,500,0.05,0,0.02,0.746666667,0.271441762,-1.698970004,490
870,855,30,8,30,0,30,0,30,550,60,24,0.37,0.24,0.018,0.016,1740,0.06,0,0.01,0.725666667,0.215443469,-2,606
870,855,30,8,30,0,30,0,30,600,60,24,0.37,0.24,0.018,0.016,1740,0.06,0,0.01,0.725666667,0.215443469,-2,551
870,855,30,8,30,0,30,0,30,650,60,24,0.37,0.24,0.018,0.016,1740,0.06,0,0.01,0.725666667,0.215443469,-2,504
870,845,30,8,30,0,30,0,30,580,60,24,0.37,0.29,0.017,0.01,420,0.07,0,0.01,0.852,0.215443469,-2,643
870,845,30,8,30,0,30,0,30,630,60,24,0.37,0.29,0.017,0.01,420,0.07,0,0.01,0.852,0.215443469,-2,583
870,845,30,8,30,0,30,0,30,680,60,24,0.37,0.29,0.017,0.01,420,0.07,0,0.01,0.852,0.215443469,-2,491
865,865,30,24,30,0,30,0,30,550,60,24,0.38,0.29,0.01,0.03,610,0.06,0.01,0.01,0.526,0.215443469,-2,426
865,865,30,24,30,0,30,0,30,600,60,24,0.38,0.29,0.01,0.03,610,0.06,0.01,0.01,0.526,0.215443469,-2,394
865,865,30,24,30,0,30,0,30,650,60,24,0.38,0.29,0.01,0.03,610,0.06,0.01,0.01,0.526,0.215443469,-2,361
870,855,30,8,30,0,30,0,30,550,60,24,0.38,0.27,0.015,0.012,1120,0.03,0,0.02,0.772,0.271441762,-1.698970004,536
870,855,30,8,30,0,30,0,30,600,60,24,0.38,0.27,0.015,0.012,1120,0.03,0,0.02,0.772,0.271441762,-1.698970004,592
870,855,30,8,30,0,30,0,30,650,60,24,0.38,0.27,0.015,0.012,1120,0.03,0,0.02,0.772,0.271441762,-1.698970004,523
870,845,30,8,30,0,30,0,30,550,60,24,0.38,0.27,0.012,0.007,610,0.03,0,0.01,0.666,0.215443469,-2,427
870,845,30,8,30,0,30,0,30,550,60,24,0.38,0.21,0.017,0.015,480,0.02,0,0,0.690333333,0,-15,432
870,845,30,8,30,0,30,0,30,600,60,24,0.38,0.27,0.012,0.007,610,0.03,0,0.01,0.666,0.215443469,-2,406
870,845,30,8,30,0,30,0,30,600,60,24,0.38,0.21,0.017,0.015,480,0.02,0,0,0.690333333,0,-15,406
870,845,30,8,30,0,30,0,30,650,60,24,0.38,0.27,0.012,0.007,610,0.03,0,0.01,0.666,0.215443469,-2,385
870,845,30,8,30,0,30,0,30,650,60,24,0.38,0.21,0.017,0.015,480,0.02,0,0,0.690333333,0,-15,363
870,845,30,8,30,0,30,0,30,580,60,24,0.38,0.26,0.016,0.017,5530,0.08,0,0.01,0.817,0.215443469,-2,604
870,845,30,8,30,0,30,0,30,580,60,24,0.38,0.26,0.016,0.008,590,0.06,0.01,0,0.793,0,-15,588
870,845,30,8,30,0,30,0,30,580,60,24,0.38,0.29,0.012,0.008,820,0.04,0.01,0.01,0.804,0.215443469,-2,604
870,845,30,8,30,0,30,0,30,630,60,24,0.38,0.26,0.016,0.017,5530,0.08,0,0.01,0.817,0.215443469,-2,571
870,845,30,8,30,0,30,0,30,630,60,24,0.38,0.26,0.016,0.008,590,0.06,0.01,0,0.793,0,-15,531
870,845,30,8,30,0,30,0,30,630,60,24,0.38,0.29,0.012,0.008,820,0.04,0.01,0.01,0.804,0.215443469,-2,550
870,845,30,8,30,0,30,0,30,680,60,24,0.38,0.26,0.016,0.017,5530,0.08,0,0.01,0.817,0.215443469,-2,483
870,845,30,8,30,0,30,0,30,680,60,24,0.38,0.26,0.016,0.008,590,0.06,0.01,0,0.793,0,-15,471
870,845,30,8,30,0,30,0,30,680,60,24,0.38,0.29,0.012,0.008,820,0.04,0.01,0.01,0.804,0.215443469,-2,483
870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.25,0.011,0.005,820,0.01,0.01,0.01,0.719,0.215443469,-2,536
870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.25,0.011,0.005,820,0.01,0.01,0.01,0.719,0.215443469,-2,511
870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.25,0.011,0.005,820,0.01,0.01,0.01,0.719,0.215443469,-2,459
870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.27,0.019,0.008,500,0.08,0,0.01,0.774,0.215443469,-2,581
870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.28,0.021,0.018,1120,0.02,0,0.01,0.788333333,0.215443469,-2,638
870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.27,0.019,0.008,500,0.08,0,0.01,0.774,0.215443469,-2,539
870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.28,0.021,0.018,1120,0.02,0,0.01,0.788333333,0.215443469,-2,557
870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.27,0.019,0.008,500,0.08,0,0.01,0.774,0.215443469,-2,496
870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.28,0.021,0.018,1120,0.02,0,0.01,0.788333333,0.215443469,-2,502
870,845,30,8,30,0,30,0,30,550,60,24,0.39,0.22,0.017,0.018,480,0.01,0,0.01,0.685,0.215443469,-2,486
870,845,30,8,30,0,30,0,30,600,60,24,0.39,0.22,0.017,0.018,480,0.01,0,0.01,0.685,0.215443469,-2,435
870,845,30,8,30,0,30,0,30,650,60,24,0.39,0.22,0.017,0.018,480,0.01,0,0.01,0.685,0.215443469,-2,397
870,845,30,8,30,0,30,0,30,580,60,24,0.39,0.19,0.01,0.012,640,0.01,0,0,0.814333333,0,-15,591
870,845,30,8,30,0,30,0,30,580,60,24,0.39,0.25,0.015,0.013,640,0.03,0,0,0.841666667,0,-15,609
870,845,30,8,30,0,30,0,30,630,60,24,0.39,0.19,0.01,0.012,640,0.01,0,0,0.814333333,0,-15,551
870,845,30,8,30,0,30,0,30,630,60,24,0.39,0.25,0.015,0.013,640,0.03,0,0,0.841666667,0,-15,563
870,845,30,8,30,0,30,0,30,680,60,24,0.39,0.19,0.01,0.012,640,0.01,0,0,0.814333333,0,-15,482
870,845,30,8,30,0,30,0,30,680,60,24,0.39,0.25,0.015,0.013,640,0.03,0,0,0.841666667,0,-15,490
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.31,0.012,0.01,1120,0.02,0,0.03,0.763333333,0.310723251,-1.522878745,583
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.32,0.013,0.011,1120,0.02,0,0.01,0.755666667,0.215443469,-2,562
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.31,0.012,0.01,1120,0.02,0,0.03,0.763333333,0.310723251,-1.522878745,516
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.32,0.013,0.011,1120,0.02,0,0.01,0.755666667,0.215443469,-2,503
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.31,0.012,0.01,1120,0.02,0,0.03,0.763333333,0.310723251,-1.522878745,482
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.32,0.013,0.011,1120,0.02,0,0.01,0.755666667,0.215443469,-2,483
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.26,0.018,0.005,610,0.05,0,0.01,0.770333333,0.215443469,-2,562
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.26,0.024,0.017,500,0.1,0,0,0.778,0,-15,585
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.011,0.015,700,0.07,0.01,0,0.805,0,-15,603
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.22,0.01,0.004,820,0.02,0,0.02,0.749333333,0.271441762,-1.698970004,625
870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.014,0.028,510,0.04,0,0.03,0.774,0.310723251,-1.522878745,631
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.26,0.018,0.005,610,0.05,0,0.01,0.770333333,0.215443469,-2,550
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.26,0.024,0.017,500,0.1,0,0,0.778,0,-15,543
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.011,0.015,700,0.07,0.01,0,0.805,0,-15,543
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.22,0.01,0.004,820,0.02,0,0.02,0.749333333,0.271441762,-1.698970004,563
870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.014,0.028,510,0.04,0,0.03,0.774,0.310723251,-1.522878745,577
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.26,0.018,0.005,610,0.05,0,0.01,0.770333333,0.215443469,-2,494
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.26,0.024,0.017,500,0.1,0,0,0.778,0,-15,496
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.011,0.015,700,0.07,0.01,0,0.805,0,-15,501
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.22,0.01,0.004,820,0.02,0,0.02,0.749333333,0.271441762,-1.698970004,517
870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.014,0.028,510,0.04,0,0.03,0.774,0.310723251,-1.522878745,523
870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.017,0.015,1740,0.06,0,0.01,0.652,0.215443469,-2,510
870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.22,0.011,0.019,530,0.02,0,0.01,0.685333333,0.215443469,-2,451
870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.017,0.012,1740,0.06,0,0.01,0.638666667,0.215443469,-2,482
870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.017,0.015,1740,0.06,0,0.01,0.652,0.215443469,-2,470
870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.22,0.011,0.019,530,0.02,0,0.01,0.685333333,0.215443469,-2,438
870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.017,0.012,1740,0.06,0,0.01,0.638666667,0.215443469,-2,443
870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.017,0.015,1740,0.06,0,0.01,0.652,0.215443469,-2,425
870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.22,0.011,0.019,530,0.02,0,0.01,0.685333333,0.215443469,-2,396
870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.017,0.012,1740,0.06,0,0.01,0.638666667,0.215443469,-2,398
870,845,30,8,30,0,30,0,30,550,60,24,0.4,0.25,0.027,0.016,1510,0,0,0.02,0.655,0.271441762,-1.698970004,516
870,845,30,8,30,0,30,0,30,600,60,24,0.4,0.25,0.027,0.016,1510,0,0,0.02,0.655,0.271441762,-1.698970004,461
870,845,30,8,30,0,30,0,30,650,60,24,0.4,0.25,0.027,0.016,1510,0,0,0.02,0.655,0.271441762,-1.698970004,410
870,845,30,8,30,0,30,0,30,580,60,24,0.4,0.23,0.011,0.01,740,0.05,0,0.01,0.836,0.215443469,-2,590
870,845,30,8,30,0,30,0,30,580,60,24,0.4,0.29,0.022,0.009,420,0.03,0,0.01,0.903,0.215443469,-2,606
870,845,30,8,30,0,30,0,30,580,60,24,0.4,0.25,0.021,0.02,590,0.07,0,0.01,0.806666667,0.215443469,-2,584
870,845,30,8,30,0,30,0,30,580,60,24,0.4,0.33,0.011,0.012,1290,0.06,0,0,0.829,0,-15,591
870,845,30,8,30,0,30,0,30,630,60,24,0.4,0.23,0.011,0.01,740,0.05,0,0.01,0.836,0.215443469,-2,543
870,845,30,8,30,0,30,0,30,630,60,24,0.4,0.29,0.022,0.009,420,0.03,0,0.01,0.903,0.215443469,-2,543
870,845,30,8,30,0,30,0,30,630,60,24,0.4,0.25,0.021,0.02,590,0.07,0,0.01,0.806666667,0.215443469,-2,524
870,845,30,8,30,0,30,0,30,630,60,24,0.4,0.33,0.011,0.012,1290,0.06,0,0,0.829,0,-15,542
870,845,30,8,30,0,30,0,30,680,60,24,0.4,0.23,0.011,0.01,740,0.05,0,0.01,0.836,0.215443469,-2,482
870,845,30,8,30,0,30,0,30,680,60,24,0.4,0.29,0.022,0.009,420,0.03,0,0.01,0.903,0.215443469,-2,490
870,845,30,8,30,0,30,0,30,680,60,24,0.4,0.25,0.021,0.02,590,0.07,0,0.01,0.806666667,0.215443469,-2,476
870,845,30,8,30,0,30,0,30,680,60,24,0.4,0.33,0.011,0.012,1290,0.06,0,0,0.829,0,-15,480
870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.014,0.015,530,0.03,0,0,0.796333333,0,-15,610
870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.015,0.024,510,0.04,0,0.01,0.792,0.215443469,-2,635
870,855,30,8,30,0,30,0,30,550,60,24,0.41,0.25,0.013,0.019,700,0.03,0,0,0.772,0,-15,566
870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.24,0.014,0.015,530,0.03,0,0,0.796333333,0,-15,551
870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.24,0.015,0.024,510,0.04,0,0.01,0.792,0.215443469,-2,590
870,855,30,8,30,0,30,0,30,600,60,24,0.41,0.25,0.013,0.019,700,0.03,0,0,0.772,0,-15,527
870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.24,0.014,0.015,530,0.03,0,0,0.796333333,0,-15,490
870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.24,0.015,0.024,510,0.04,0,0.01,0.792,0.215443469,-2,517
870,855,30,8,30,0,30,0,30,650,60,24,0.41,0.25,0.013,0.019,700,0.03,0,0,0.772,0,-15,480
870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.24,0.02,0.008,610,0.02,0.01,0.02,0.713666667,0.271441762,-1.698970004,425
870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.24,0.02,0.008,610,0.02,0.01,0.02,0.713666667,0.271441762,-1.698970004,404
870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.24,0.02,0.008,610,0.02,0.01,0.02,0.713666667,0.271441762,-1.698970004,380
870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.34,0.02,0.015,1100,0.04,0,0,0.702,0,-15,530
870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.22,0.01,0.007,820,0.02,0,0.01,0.678666667,0.215443469,-2,445
870,845,30,8,30,0,30,0,30,550,60,24,0.41,0.22,0.014,0.018,480,0.02,0,0,0.705333333,0,-15,443
870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.34,0.02,0.015,1100,0.04,0,0,0.702,0,-15,497
870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.22,0.01,0.007,820,0.02,0,0.01,0.678666667,0.215443469,-2,399
870,845,30,8,30,0,30,0,30,600,60,24,0.41,0.22,0.014,0.018,480,0.02,0,0,0.705333333,0,-15,424
870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.34,0.02,0.015,1100,0.04,0,0,0.702,0,-15,450
870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.22,0.01,0.007,820,0.02,0,0.01,0.678666667,0.215443469,-2,383
870,845,30,8,30,0,30,0,30,650,60,24,0.41,0.22,0.014,0.018,480,0.02,0,0,0.705333333,0,-15,399
870,845,30,8,30,0,30,0,30,580,60,24,0.41,0.29,0.013,0.01,820,0.04,0,0,0.856,0,-15,550
870,845,30,8,30,0,30,0,30,630,60,24,0.41,0.29,0.013,0.01,820,0.04,0,0,0.856,0,-15,512
870,845,30,8,30,0,30,0,30,680,60,24,0.41,0.29,0.013,0.01,820,0.04,0,0,0.856,0,-15,469
845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.22,0.022,0.02,825,0.11,0.04,0,0.556666667,0,-15,437
845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.26,0.024,0.01,1270,0.04,0.01,0,0.558,0,-15,452
845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.22,0.022,0.02,825,0.11,0.04,0,0.556666667,0,-15,401
845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.26,0.024,0.01,1270,0.04,0.01,0,0.558,0,-15,422
845,845,30,24,30,0,30,0,30,650,60,24,0.42,0.22,0.022,0.02,825,0.11,0.04,0,0.556666667,0,-15,372
845,845,30,24,30,0,30,0,30,650,60,24,0.42,0.26,0.024,0.01,1270,0.04,0.01,0,0.558,0,-15,382
870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.27,0.01,0.008,820,0.01,0,0.01,0.734333333,0.215443469,-2,524
870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.22,0.016,0.014,1740,0.03,0,0.01,0.754666667,0.215443469,-2,569
870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.32,0.014,0.007,1120,0.01,0,0.01,0.777666667,0.215443469,-2,577
870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.26,0.01,0.004,820,0.03,0,0.02,0.744,0.271441762,-1.698970004,565
870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.27,0.01,0.008,820,0.01,0,0.01,0.734333333,0.215443469,-2,504
870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.22,0.016,0.014,1740,0.03,0,0.01,0.754666667,0.215443469,-2,517
870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.32,0.014,0.007,1120,0.01,0,0.01,0.777666667,0.215443469,-2,518
