NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,P,S,RedRatio,dA,dB,dC,CE,dC^(1/6),log(dC),Fatigue
870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.26,0.01,0.004,820,0.03,0,0.02,0.744,0.271441762,-1.698970004,524
870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.27,0.01,0.008,820,0.01,0,0.01,0.734333333,0.215443469,-2,457
870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.22,0.016,0.014,1740,0.03,0,0.01,0.754666667,0.215443469,-2,470
870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.32,0.014,0.007,1120,0.01,0,0.01,0.777666667,0.215443469,-2,490
870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.26,0.01,0.004,820,0.03,0,0.02,0.744,0.271441762,-1.698970004,485
870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.29,0.015,0.017,500,0.09,0.01,0.01,0.812333333,0.215443469,-2,582
870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.28,0.015,0.008,820,0.04,0,0.01,0.799666667,0.215443469,-2,634
870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.29,0.015,0.017,500,0.09,0.01,0.01,0.812333333,0.215443469,-2,583
870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.28,0.015,0.008,820,0.04,0,0.01,0.799666667,0.215443469,-2,570
870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.29,0.015,0.017,500,0.09,0.01,0.01,0.812333333,0.215443469,-2,505
870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.28,0.015,0.008,820,0.04,0,0.01,0.799666667,0.215443469,-2,502
870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.23,0.01,0.009,820,0.03,0,0,0.706,0,-15,505
870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.21,0.014,0.015,480,0.02,0,0,0.717333333,0,-15,484
870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.24,0.014,0.022,480,0.02,0,0,0.726,0,-15,495
870,845,30,8,30,0,30,0,30,550,60,24,0.42,0.21,0.026,0.019,1510,0,0,0.03,0.697666667,0.310723251,-1.522878745,551
870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.23,0.01,0.009,820,0.03,0,0,0.706,0,-15,449
870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.21,0.014,0.015,480,0.02,0,0,0.717333333,0,-15,451
870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.24,0.014,0.022,480,0.02,0,0,0.726,0,-15,459
870,845,30,8,30,0,30,0,30,600,60,24,0.42,0.21,0.026,0.019,1510,0,0,0.03,0.697666667,0.310723251,-1.522878745,497
870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.23,0.01,0.009,820,0.03,0,0,0.706,0,-15,411
870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.21,0.014,0.015,480,0.02,0,0,0.717333333,0,-15,404
870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.24,0.014,0.022,480,0.02,0,0,0.726,0,-15,411
870,845,30,8,30,0,30,0,30,650,60,24,0.42,0.21,0.026,0.019,1510,0,0,0.03,0.697666667,0.310723251,-1.522878745,438
870,845,30,8,30,0,30,0,30,580,60,24,0.42,0.25,0.012,0.021,640,0.02,0.01,0.01,0.850333333,0.215443469,-2,588
870,845,30,8,30,0,30,0,30,580,60,24,0.42,0.3,0.016,0.004,420,0.03,0,0,0.899333333,0,-15,619
870,845,30,8,30,0,30,0,30,630,60,24,0.42,0.25,0.012,0.021,640,0.02,0.01,0.01,0.850333333,0.215443469,-2,531
870,845,30,8,30,0,30,0,30,630,60,24,0.42,0.3,0.016,0.004,420,0.03,0,0,0.899333333,0,-15,583
870,845,30,8,30,0,30,0,30,680,60,24,0.42,0.25,0.012,0.021,640,0.02,0.01,0.01,0.850333333,0.215443469,-2,491
870,845,30,8,30,0,30,0,30,680,60,24,0.42,0.3,0.016,0.004,420,0.03,0,0,0.899333333,0,-15,498
845,845,30,24,30,0,30,0,30,550,60,24,0.43,0.22,0.017,0.016,1740,0.06,0,0,0.593666667,0,-15,475
845,845,30,24,30,0,30,0,30,600,60,24,0.43,0.22,0.017,0.016,1740,0.06,0,0,0.593666667,0,-15,438
845,845,30,24,30,0,30,0,30,650,60,24,0.43,0.22,0.017,0.016,1740,0.06,0,0,0.593666667,0,-15,388
870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.24,0.022,0.013,1740,0.03,0,0,0.780666667,0,-15,582
870,855,30,8,30,0,30,0,30,600,60,24,0.43,0.24,0.022,0.013,1740,0.03,0,0,0.780666667,0,-15,522
870,855,30,8,30,0,30,0,30,650,60,24,0.43,0.24,0.022,0.013,1740,0.03,0,0,0.780666667,0,-15,483
870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.26,0.019,0.012,1740,0.06,0,0,0.814,0,-15,625
870,855,30,8,30,0,30,0,30,600,60,24,0.43,0.26,0.019,0.012,1740,0.06,0,0,0.814,0,-15,564
870,855,30,8,30,0,30,0,30,650,60,24,0.43,0.26,0.019,0.012,1740,0.06,0,0,0.814,0,-15,511
870,845,30,8,30,0,30,0,30,550,60,24,0.43,0.34,0.017,0.01,1100,0.03,0,0,0.724,0,-15,536
870,845,30,8,30,0,30,0,30,550,60,24,0.43,0.26,0.012,0.017,1740,0.07,0,0,0.714,0,-15,510
870,845,30,8,30,0,30,0,30,600,60,24,0.43,0.34,0.017,0.01,1100,0.03,0,0,0.724,0,-15,502
870,845,30,8,30,0,30,0,30,600,60,24,0.43,0.26,0.012,0.017,1740,0.07,0,0,0.714,0,-15,490
870,845,30,8,30,0,30,0,30,650,60,24,0.43,0.34,0.017,0.01,1100,0.03,0,0,0.724,0,-15,448
870,845,30,8,30,0,30,0,30,650,60,24,0.43,0.26,0.012,0.017,1740,0.07,0,0,0.714,0,-15,442
870,845,30,8,30,0,30,0,30,580,60,24,0.43,0.26,0.012,0.018,590,0.07,0,0,0.827333333,0,-15,569
870,845,30,8,30,0,30,0,30,630,60,24,0.43,0.26,0.012,0.018,590,0.07,0,0,0.827333333,0,-15,550
870,845,30,8,30,0,30,0,30,680,60,24,0.43,0.26,0.012,0.018,590,0.07,0,0,0.827333333,0,-15,463
845,845,30,24,30,0,30,0,30,550,60,24,0.44,0.24,0.021,0.021,825,0.1,0.03,0.01,0.584,0.215443469,-2,446
845,845,30,24,30,0,30,0,30,600,60,24,0.44,0.24,0.021,0.021,825,0.1,0.03,0.01,0.584,0.215443469,-2,415
845,845,30,24,30,0,30,0,30,650,60,24,0.44,0.24,0.021,0.021,825,0.1,0.03,0.01,0.584,0.215443469,-2,378
870,855,30,8,30,0,30,0,30,550,60,24,0.44,0.26,0.017,0.012,1740,0.04,0,0,0.819666667,0,-15,625
870,855,30,8,30,0,30,0,30,600,60,24,0.44,0.26,0.017,0.012,1740,0.04,0,0,0.819666667,0,-15,578
870,855,30,8,30,0,30,0,30,650,60,24,0.44,0.26,0.017,0.012,1740,0.04,0,0,0.819666667,0,-15,516
870,845,30,8,30,0,30,0,30,580,60,24,0.44,0.25,0.01,0.009,820,0.02,0,0.02,0.843333333,0.271441762,-1.698970004,607
870,845,30,8,30,0,30,0,30,630,60,24,0.44,0.25,0.01,0.009,820,0.02,0,0.02,0.843333333,0.271441762,-1.698970004,550
870,845,30,8,30,0,30,0,30,680,60,24,0.44,0.25,0.01,0.009,820,0.02,0,0.02,0.843333333,0.271441762,-1.698970004,482
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.25,0.018,0.016,1740,0.07,0,0,0.610333333,0,-15,513
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.26,0.027,0.019,1270,0.12,0.01,0,0.600666667,0,-15,448
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.24,0.01,0.009,610,0.06,0,0.01,0.597,0.215443469,-2,465
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.25,0.011,0.025,610,0.09,0,0.04,0.607666667,0.341995189,-1.397940009,486
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.25,0.018,0.016,1740,0.07,0,0,0.610333333,0,-15,459
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.26,0.027,0.019,1270,0.12,0.01,0,0.600666667,0,-15,415
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.24,0.01,0.009,610,0.06,0,0.01,0.597,0.215443469,-2,437
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.25,0.011,0.025,610,0.09,0,0.04,0.607666667,0.341995189,-1.397940009,452
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.25,0.018,0.016,1740,0.07,0,0,0.610333333,0,-15,413
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.26,0.027,0.019,1270,0.12,0.01,0,0.600666667,0,-15,395
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.24,0.01,0.009,610,0.06,0,0.01,0.597,0.215443469,-2,398
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.25,0.011,0.025,610,0.09,0,0.04,0.607666667,0.341995189,-1.397940009,398
870,845,30,8,30,0,30,0,30,550,60,24,0.45,0.33,0.008,0.007,740,0.02,0,0.01,0.742666667,0.215443469,-2,477
870,845,30,8,30,0,30,0,30,600,60,24,0.45,0.33,0.008,0.007,740,0.02,0,0.01,0.742666667,0.215443469,-2,451
870,845,30,8,30,0,30,0,30,650,60,24,0.45,0.33,0.008,0.007,740,0.02,0,0.01,0.742666667,0.215443469,-2,410
870,845,30,8,30,0,30,0,30,580,60,24,0.45,0.16,0.009,0.016,640,0.01,0,0,0.841,0,-15,596
870,845,30,8,30,0,30,0,30,630,60,24,0.45,0.16,0.009,0.016,640,0.01,0,0,0.841,0,-15,537
870,845,30,8,30,0,30,0,30,680,60,24,0.45,0.16,0.009,0.016,640,0.01,0,0,0.841,0,-15,477
870,845,30,8,30,0,30,0,30,550,60,24,0.46,0.3,0.014,0.008,1100,0.03,0,0,0.773666667,0,-15,551
870,845,30,8,30,0,30,0,30,600,60,24,0.46,0.3,0.014,0.008,1100,0.03,0,0,0.773666667,0,-15,502
870,845,30,8,30,0,30,0,30,650,60,24,0.46,0.3,0.014,0.008,1100,0.03,0,0,0.773666667,0,-15,460
845,845,30,24,30,0,30,0,30,550,60,24,0.47,0.25,0.015,0.01,610,0.04,0,0.03,0.609333333,0.310723251,-1.522878745,465
845,845,30,24,30,0,30,0,30,600,60,24,0.47,0.25,0.015,0.01,610,0.04,0,0.03,0.609333333,0.310723251,-1.522878745,442
845,845,30,24,30,0,30,0,30,650,60,24,0.47,0.25,0.015,0.01,610,0.04,0,0.03,0.609333333,0.310723251,-1.522878745,396
870,845,30,8,30,0,30,0,30,580,60,24,0.47,0.28,0.011,0.007,740,0.03,0,0.01,0.869333333,0.215443469,-2,600
870,845,30,8,30,0,30,0,30,580,60,24,0.47,0.19,0.013,0.013,640,0.02,0,0,0.854,0,-15,615
870,845,30,8,30,0,30,0,30,630,60,24,0.47,0.28,0.011,0.007,740,0.03,0,0.01,0.869333333,0.215443469,-2,551
870,845,30,8,30,0,30,0,30,630,60,24,0.47,0.19,0.013,0.013,640,0.02,0,0,0.854,0,-15,556
870,845,30,8,30,0,30,0,30,680,60,24,0.47,0.28,0.011,0.007,740,0.03,0,0.01,0.869333333,0.215443469,-2,471
870,845,30,8,30,0,30,0,30,680,60,24,0.47,0.19,0.013,0.013,640,0.02,0,0,0.854,0,-15,476
845,845,30,24,30,0,30,0,30,550,60,24,0.48,0.25,0.024,0.022,1740,0.08,0,0,0.627,0,-15,502
845,845,30,24,30,0,30,0,30,600,60,24,0.48,0.25,0.024,0.022,1740,0.08,0,0,0.627,0,-15,463
845,845,30,24,30,0,30,0,30,650,60,24,0.48,0.25,0.024,0.022,1740,0.08,0,0,0.627,0,-15,415
870,845,30,8,30,0,30,0,30,580,60,24,0.48,0.2,0.01,0.016,640,0.03,0,0,0.860666667,0,-15,618
870,845,30,8,30,0,30,0,30,630,60,24,0.48,0.2,0.01,0.016,640,0.03,0,0,0.860666667,0,-15,543
870,845,30,8,30,0,30,0,30,680,60,24,0.48,0.2,0.01,0.016,640,0.03,0,0,0.860666667,0,-15,491
845,845,30,24,30,0,30,0,30,550,60,24,0.49,0.26,0.027,0.023,1270,0.13,0.01,0,0.643333333,0,-15,504
845,845,30,24,30,0,30,0,30,600,60,24,0.49,0.26,0.027,0.023,1270,0.13,0.01,0,0.643333333,0,-15,468
845,845,30,24,30,0,30,0,30,650,60,24,0.49,0.26,0.027,0.023,1270,0.13,0.01,0,0.643333333,0,-15,415
870,845,30,8,30,0,30,0,30,580,60,24,0.49,0.29,0.014,0.011,820,0.06,0,0.01,0.883666667,0.215443469,-2,585
870,845,30,8,30,0,30,0,30,630,60,24,0.49,0.29,0.014,0.011,820,0.06,0,0.01,0.883666667,0.215443469,-2,543
870,845,30,8,30,0,30,0,30,680,60,24,0.49,0.29,0.014,0.011,820,0.06,0,0.01,0.883666667,0.215443469,-2,479
825,825,30,24,30,0,30,0,30,550,60,24,0.52,0.29,0.016,0.025,825,0.12,0.02,0,0.670333333,0,-15,489
825,825,30,24,30,0,30,0,30,550,60,24,0.52,0.21,0.021,0.021,1740,0.09,0,0,0.676,0,-15,505
825,825,30,24,30,0,30,0,30,600,60,24,0.52,0.29,0.016,0.025,825,0.12,0.02,0,0.670333333,0,-15,444
825,825,30,24,30,0,30,0,30,600,60,24,0.52,0.21,0.021,0.021,1740,0.09,0,0,0.676,0,-15,464
825,825,30,24,30,0,30,0,30,650,60,24,0.52,0.29,0.016,0.025,825,0.12,0.02,0,0.670333333,0,-15,402
825,825,30,24,30,0,30,0,30,650,60,24,0.52,0.21,0.021,0.021,1740,0.09,0,0,0.676,0,-15,410
825,825,30,24,30,0,30,0,30,550,60,24,0.53,0.3,0.019,0.026,1270,0.09,0,0,0.694333333,0,-15,531
825,825,30,24,30,0,30,0,30,600,60,24,0.53,0.3,0.019,0.026,1270,0.09,0,0,0.694333333,0,-15,466
825,825,30,24,30,0,30,0,30,650,60,24,0.53,0.3,0.019,0.026,1270,0.09,0,0,0.694333333,0,-15,415
845,845,30,8,30,0,30,0,30,430,60,24,0.53,1.49,0.011,0.007,925,0.03,0,0,0.795,0,-15,874
845,845,30,8,30,0,30,0,30,430,60,24,0.53,1.31,0.004,0.004,1455,0.02,0.01,0.01,0.789666667,0.215443469,-2,829
845,845,30,8,30,0,30,0,30,430,60,24,0.53,1.51,0.013,0.011,622,0.05,0,0.058,0.815333333,0.387087664,-1.236572006,700
845,845,30,8,30,0,30,0,30,500,60,24,0.53,1.31,0.007,0.003,1455,0.02,0.01,0.01,0.791666667,0.215443469,-2,720
845,845,30,8,30,0,30,0,30,500,60,24,0.53,1.5,0.014,0.011,622,0.05,0,0.058,0.811666667,0.387087664,-1.236572006,688
825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.26,0.022,0.021,1270,0.08,0.01,0,0.692666667,0,-15,534
825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.2,0.013,0.019,825,0.1,0,0,0.668333333,0,-15,495
825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.27,0.017,0.02,610,0.08,0,0.04,0.695333333,0.341995189,-1.397940009,541
825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.26,0.022,0.021,1270,0.08,0.01,0,0.692666667,0,-15,459
825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.2,0.013,0.019,825,0.1,0,0,0.668333333,0,-15,445
825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.27,0.017,0.02,610,0.08,0,0.04,0.695333333,0.341995189,-1.397940009,475
825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.26,0.022,0.021,1270,0.08,0.01,0,0.692666667,0,-15,418
825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.2,0.013,0.019,825,0.1,0,0,0.668333333,0,-15,411
825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.27,0.017,0.02,610,0.08,0,0.04,0.695333333,0.341995189,-1.397940009,415
845,845,30,8,30,0,30,0,30,500,60,24,0.54,1.5,0.013,0.007,925,0.03,0,0,0.805,0,-15,806
825,825,30,24,30,0,30,0,30,550,60,24,0.55,0.23,0.018,0.012,1740,0.07,0,0,0.696,0,-15,523
825,825,30,24,30,0,30,0,30,600,60,24,0.55,0.23,0.018,0.012,1740,0.07,0,0,0.696,0,-15,468
825,825,30,24,30,0,30,0,30,650,60,24,0.55,0.23,0.018,0.012,1740,0.07,0,0,0.696,0,-15,419
825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.26,0.019,0.026,660,0.06,0,0,0.657666667,0,-15,500
825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.25,0.009,0.023,610,0.06,0,0.04,0.697333333,0.341995189,-1.397940009,492
825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.26,0.019,0.026,660,0.06,0,0,0.657666667,0,-15,458
825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.25,0.009,0.023,610,0.06,0,0.04,0.697333333,0.341995189,-1.397940009,461
825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.26,0.019,0.026,660,0.06,0,0,0.657666667,0,-15,398
825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.25,0.009,0.023,610,0.06,0,0.04,0.697333333,0.341995189,-1.397940009,412
825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.23,0.018,0.017,1740,0.08,0,0,0.719333333,0,-15,522
825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.3,0.024,0.022,1270,0.1,0.01,0,0.728666667,0,-15,533
825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.23,0.018,0.017,1740,0.08,0,0,0.719333333,0,-15,464
825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.3,0.024,0.022,1270,0.1,0.01,0,0.728666667,0,-15,486
825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.23,0.018,0.017,1740,0.08,0,0,0.719333333,0,-15,428
825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.3,0.024,0.022,1270,0.1,0.01,0,0.728666667,0,-15,425
845,845,30,8,30,0,30,0,30,430,60,24,0.59,1.99,0.027,0.01,1228,0.04,0,0,0.774666667,0,-15,698
845,845,30,8,30,0,30,0,30,500,60,24,0.59,1.99,0.027,0.01,1228,0.04,0,0,0.774666667,0,-15,678
845,845,30,8,30,0,30,0,30,430,60,24,0.6,1.96,0.019,0.004,721,0.017,0,0.021,0.783,0.275892418,-1.677780705,781
845,845,30,8,30,0,30,0,30,500,60,24,0.6,1.96,0.019,0.004,721,0.017,0,0.021,0.783,0.275892418,-1.677780705,740
845,845,30,8,30,0,30,0,30,430,60,24,0.61,2.05,0.019,0.014,1455,0.07,0,0.01,0.804,0.215443469,-2,906
845,845,30,8,30,0,30,0,30,500,60,24,0.61,2.05,0.019,0.014,1455,0.07,0,0.01,0.804,0.215443469,-2,770
845,845,30,8,30,0,30,0,30,420,60,24,0.61,0.28,0.019,0.02,622,0.067,0,0.012,0.957666667,0.228942849,-1.920818754,794
845,845,30,8,30,0,30,0,30,490,60,24,0.61,0.28,0.019,0.02,622,0.067,0,0.012,0.957666667,0.228942849,-1.920818754,745
845,845,30,8,30,0,30,0,30,420,60,24,0.62,0.29,0.026,0.007,796,0.058,0,0.004,0.934,0.158740105,-2.397940009,768
845,845,30,8,30,0,30,0,30,490,60,24,0.62,0.29,0.026,0.007,796,0.058,0,0.004,0.934,0.158740105,-2.397940009,718
845,845,30,8,30,0,30,0,30,420,60,24,0.63,0.17,0.026,0.014,289,0.05,0,0,0.925666667,0,-15,855
845,845,30,8,30,0,30,0,30,490,60,24,0.63,0.17,0.026,0.014,289,0.05,0,0,0.925666667,0,-15,707
