NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,P,S,RedRatio,dA,dB,dC,HJP,CE,dC^(1/6),Fatigue
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,8773.897869,0.496333333,0.2,1002
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,8773.897869,0.496333333,0.2,1082
930,30,0,0,930,540,850,15,140,160,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,8773.897869,0.496333333,0.2,935
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.17,0.28,0.002,0.016,440,0.017,0,0.008,9657.583919,0.496333333,0.2,1035
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,8750.863169,0.51,0,986
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,8750.863169,0.51,0,1089
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,8750.863169,0.51,0,1080
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.18,0.26,0.009,0.014,690,0.06,0,0,9632.229219,0.51,0,1053
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,8750.863169,0.567666667,0.2,858
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,8750.863169,0.567666667,0.2,948
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,8750.863169,0.567666667,0.2,957
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.18,0.25,0.016,0.015,530,0.017,0.004,0.008,9632.229219,0.567666667,0.2,882
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,8727.828469,0.551,0,889
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,8727.828469,0.551,0,900
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,8727.828469,0.551,0,838
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.19,0.21,0.017,0.011,390,0.025,0.004,0,9606.874519,0.551,0,898
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,8704.793769,0.504333333,0,927
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,8704.793769,0.504333333,0,956
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,8704.793769,0.504333333,0,960
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.2,0.32,0.024,0.028,390,0.046,0,0,9581.519819,0.504333333,0,924
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,8681.759069,0.586,0,1034
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,8681.759069,0.586,0,1056
930,30,0,0,930,540,850,15,140,160,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,8681.759069,0.586,0,1054
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.21,0.29,0.015,0.016,440,0.008,0,0,9556.165119,0.586,0,1037
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,8681.759069,0.575333333,0.158740105,854
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,8681.759069,0.575333333,0.158740105,884
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,8681.759069,0.575333333,0.158740105,876
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.21,0.3,0.021,0.006,460,0.025,0,0.004,9556.165119,0.575333333,0.158740105,873
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,8681.759069,0.621666667,0,1074
930,30,0,0,930,90,881.807,49.8,60,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,8681.759069,0.532333333,0,1006
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,8681.759069,0.621666667,0,1144
930,30,0,0,930,340.2,895.812,70.2,60,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,8681.759069,0.532333333,0,1028
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,8681.759069,0.621666667,0,1080
930,30,0,0,930,340.2,895.812,70.2,140,160,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,8681.759069,0.532333333,0,1030
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.31,0.012,0.019,690,0.08,0,0,9556.165119,0.621666667,0,1104
930,30,0,0,930,340.2,895.812,70.2,60,200,120,0.5,0.21,0.26,0.015,0.024,240,0.05,0.01,0,9556.165119,0.532333333,0,1008
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.19,0.026,0.022,825,0.04,0.02,0,1342.1616,0.296,0,225
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.26,0.021,0.023,1270,0.04,0.03,0,1342.1616,0.304333333,0,239
885,30,0,0,30,0,30,0,30,30,0,0,0.23,0.26,0.029,0.024,1740,0.11,0,0,1326.6669,0.323666667,0,255
930,30,0,0,930,139.8,850,15,60,160,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,8635.689669,0.581,0,1139
930,30,0,0,930,469.8,850,15,60,160,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,8635.689669,0.581,0,1124
930,30,0,0,930,540,850,15,140,160,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,8635.689669,0.581,0,1190
930,30,0,0,930,469.8,850,15,60,200,120,0.5,0.23,0.35,0.008,0.012,860,0.07,0.01,0,9505.455719,0.581,0,1110
930,30,0,0,930,130.2,882.381,25.2,60,160,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,8635.689669,0.557666667,0,976
930,30,0,0,930,450,895.517,34.8,60,160,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,8635.689669,0.557666667,0,946
930,30,0,0,930,510,903.333,45,140,160,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,8635.689669,0.557666667,0,1033
930,30,0,0,930,450,895.517,34.8,60,200,120,0.5,0.23,0.29,0.011,0.011,440,0.013,0,0,9505.455719,0.557666667,0,1009
930,30,0,0,930,100.2,895.517,34.8,60,160,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,8635.689669,0.602666667,0.215443469,1086
930,30,0,0,930,499.8,895.812,70.2,60,160,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,8635.689669,0.602666667,0.215443469,1057
930,30,0,0,930,529.8,895.812,70.2,140,160,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,8635.689669,0.602666667,0.215443469,1068
930,30,0,0,930,499.8,895.812,70.2,60,200,120,0.5,0.23,0.2,0.013,0.018,690,0.07,0,0.01,9505.455719,0.602666667,0.215443469,1120
885,30,0,0,30,0,30,0,30,30,0,0,0.25,0.18,0.009,0.017,610,0.11,0,0.04,1295.6775,0.358,0.341995189,235
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.21,0.017,0.022,825,0.07,0.02,0.04,1280.1828,0.338666667,0.341995189,232
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.27,0.008,0.015,1270,0.07,0.02,0,1280.1828,0.339666667,0,235
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.23,0.018,0.024,1740,0.06,0,0,1280.1828,0.350333333,0,241
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.22,0.026,0.026,825,0.06,0.02,0.02,1280.1828,0.348333333,0.271441762,245
885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.25,0.02,0.021,1740,0.07,0,0,1264.6881,0.366,0,245
885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.23,0.008,0.03,610,0.08,0,0.04,1264.6881,0.361666667,0.341995189,275
885,30,0,0,30,0,30,0,30,30,0,0,0.28,0.27,0.021,0.018,1270,0.08,0.01,0,1249.1934,0.371333333,0,255
900,845,30,8,30,0,30,0,30,550,60,24,0.28,0.27,0.019,0.009,420,0.02,0,0.02,16650.6794,0.723666667,0.271441762,576
900,845,30,8,30,0,30,0,30,600,60,24,0.28,0.27,0.019,0.009,420,0.02,0,0.02,17708.33546,0.723666667,0.271441762,537
900,845,30,8,30,0,30,0,30,650,60,24,0.28,0.27,0.019,0.009,420,0.02,0,0.02,18765.99152,0.723666667,0.271441762,502
900,845,30,8,30,0,30,0,30,550,60,24,0.3,0.27,0.018,0.008,820,0.01,0,0.01,16559.37,0.735,0.215443469,522
900,845,30,8,30,0,30,0,30,600,60,24,0.3,0.27,0.018,0.008,820,0.01,0,0.01,17611.22606,0.735,0.215443469,503
900,845,30,8,30,0,30,0,30,650,60,24,0.3,0.27,0.018,0.008,820,0.01,0,0.01,18663.08212,0.735,0.215443469,471
900,845,30,8,30,0,30,0,30,550,60,24,0.31,0.22,0.016,0.016,700,0.01,0,0.01,16513.7153,0.727333333,0.215443469,537
900,845,30,8,30,0,30,0,30,600,60,24,0.31,0.22,0.016,0.016,700,0.01,0,0.01,17562.67136,0.727333333,0.215443469,518
900,845,30,8,30,0,30,0,30,650,60,24,0.31,0.22,0.016,0.016,700,0.01,0,0.01,18611.62742,0.727333333,0.215443469,471
865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.26,0.015,0.019,1740,0.06,0,0,16468.0606,0.449,0,418
865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.21,0.007,0.017,610,0.06,0.05,0.03,16468.0606,0.454333333,0.310723251,379
865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.26,0.015,0.019,1740,0.06,0,0,17514.11666,0.449,0,395
865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.21,0.007,0.017,610,0.06,0.05,0.03,17514.11666,0.454333333,0.310723251,358
865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.26,0.015,0.019,1740,0.06,0,0,18560.17272,0.449,0,348
865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.21,0.007,0.017,610,0.06,0.05,0.03,18560.17272,0.454333333,0.310723251,325
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.3,0.008,0.006,610,0,0,0.01,16468.0606,0.749,0.215443469,563
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.24,0.009,0.01,700,0.01,0.01,0.03,16468.0606,0.739333333,0.310723251,530
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.29,0.018,0.004,420,0,0,0.02,16468.0606,0.739333333,0.271441762,570
900,845,30,8,30,0,30,0,30,550,60,24,0.32,0.3,0.013,0.009,1740,0.03,0,0,16468.0606,0.742666667,0,570
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.3,0.008,0.006,610,0,0,0.01,17514.11666,0.749,0.215443469,510
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.24,0.009,0.01,700,0.01,0.01,0.03,17514.11666,0.739333333,0.310723251,510
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.29,0.018,0.004,420,0,0,0.02,17514.11666,0.739333333,0.271441762,517
900,845,30,8,30,0,30,0,30,600,60,24,0.32,0.3,0.013,0.009,1740,0.03,0,0,17514.11666,0.742666667,0,540
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.3,0.008,0.006,610,0,0,0.01,18560.17272,0.749,0.215443469,490
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.24,0.009,0.01,700,0.01,0.01,0.03,18560.17272,0.739333333,0.310723251,477
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.29,0.018,0.004,420,0,0,0.02,18560.17272,0.739333333,0.271441762,483
900,845,30,8,30,0,30,0,30,650,60,24,0.32,0.3,0.013,0.009,1740,0.03,0,0,18560.17272,0.742666667,0,497
865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.21,0.031,0.019,825,0.08,0,0,16422.4059,0.463,0,426
865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.26,0.023,0.013,1270,0.08,0.02,0,16422.4059,0.479333333,0,454
865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.21,0.031,0.019,825,0.08,0,0,17465.56196,0.463,0,377
865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.26,0.023,0.013,1270,0.08,0.02,0,17465.56196,0.479333333,0,425
865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.21,0.031,0.019,825,0.08,0,0,18508.71802,0.463,0,362
865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.26,0.023,0.013,1270,0.08,0.02,0,18508.71802,0.479333333,0,385
870,855,30,8,30,0,30,0,30,550,60,24,0.33,0.27,0.015,0.008,640,0.03,0,0,16422.4059,0.685,0,585
870,855,30,8,30,0,30,0,30,600,60,24,0.33,0.27,0.015,0.008,640,0.03,0,0,17465.56196,0.685,0,535
870,855,30,8,30,0,30,0,30,650,60,24,0.33,0.27,0.015,0.008,640,0.03,0,0,18508.71802,0.685,0,467
900,845,30,8,30,0,30,0,30,550,60,24,0.33,0.3,0.009,0.006,820,0.01,0,0.01,16422.4059,0.757,0.215443469,569
900,845,30,8,30,0,30,0,30,600,60,24,0.33,0.3,0.009,0.006,820,0.01,0,0.01,17465.56196,0.757,0.215443469,523
900,845,30,8,30,0,30,0,30,650,60,24,0.33,0.3,0.009,0.006,820,0.01,0,0.01,18508.71802,0.757,0.215443469,476
865,865,30,24,30,0,30,0,30,550,60,24,0.34,0.26,0.012,0.015,1740,0.08,0,0,16376.7512,0.468666667,0,401
865,865,30,24,30,0,30,0,30,600,60,24,0.34,0.26,0.012,0.015,1740,0.08,0,0,17417.00726,0.468666667,0,365
865,865,30,24,30,0,30,0,30,650,60,24,0.34,0.26,0.012,0.015,1740,0.08,0,0,18457.26332,0.468666667,0,325
870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.25,0.019,0.011,500,0.08,0,0.01,16376.7512,0.710666667,0.215443469,535
870,855,30,8,30,0,30,0,30,550,60,24,0.34,0.29,0.019,0.013,500,0.08,0,0,16376.7512,0.715666667,0,557
870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.25,0.019,0.011,500,0.08,0,0.01,17417.00726,0.710666667,0.215443469,490
870,855,30,8,30,0,30,0,30,600,60,24,0.34,0.29,0.019,0.013,500,0.08,0,0,17417.00726,0.715666667,0,524
870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.25,0.019,0.011,500,0.08,0,0.01,18457.26332,0.710666667,0.215443469,459
870,855,30,8,30,0,30,0,30,650,60,24,0.34,0.29,0.019,0.013,500,0.08,0,0,18457.26332,0.715666667,0,476
900,845,30,8,30,0,30,0,30,550,60,24,0.34,0.26,0.01,0.009,700,0.01,0,0.01,16376.7512,0.795,0.215443469,549
900,845,30,8,30,0,30,0,30,600,60,24,0.34,0.26,0.01,0.009,700,0.01,0,0.01,17417.00726,0.795,0.215443469,536
900,845,30,8,30,0,30,0,30,650,60,24,0.34,0.26,0.01,0.009,700,0.01,0,0.01,18457.26332,0.795,0.215443469,496
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.21,0.021,0.022,825,0.05,0.03,0,16331.0965,0.482333333,0,397
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.3,0.017,0.024,1270,0.07,0.02,0,16331.0965,0.494666667,0,419
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.25,0.016,0.023,825,0.07,0.04,0,16331.0965,0.491333333,0,395
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.21,0.021,0.022,825,0.05,0.03,0,17368.45256,0.482333333,0,382
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.3,0.017,0.024,1270,0.07,0.02,0,17368.45256,0.494666667,0,385
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.25,0.016,0.023,825,0.07,0.04,0,17368.45256,0.491333333,0,375
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.21,0.021,0.022,825,0.05,0.03,0,18405.80862,0.482333333,0,344
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.3,0.017,0.024,1270,0.07,0.02,0,18405.80862,0.494666667,0,369
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.25,0.016,0.023,825,0.07,0.04,0,18405.80862,0.491333333,0,341
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.3,0.019,0.012,1250,0,0,0.02,16331.0965,0.704666667,0.271441762,571
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.02,0.017,1120,0.03,0,0.01,16331.0965,0.736666667,0.215443469,563
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.02,0.013,1740,0.05,0,0,16331.0965,0.717,0,583
870,855,30,8,30,0,30,0,30,550,60,24,0.35,0.25,0.026,0.018,820,0.1,0,0,16331.0965,0.700666667,0,592
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.3,0.019,0.012,1250,0,0,0.02,17368.45256,0.704666667,0.271441762,519
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.02,0.017,1120,0.03,0,0.01,17368.45256,0.736666667,0.215443469,530
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.02,0.013,1740,0.05,0,0,17368.45256,0.717,0,546
870,855,30,8,30,0,30,0,30,600,60,24,0.35,0.25,0.026,0.018,820,0.1,0,0,17368.45256,0.700666667,0,550
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.3,0.019,0.012,1250,0,0,0.02,18405.80862,0.704666667,0.271441762,491
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.02,0.017,1120,0.03,0,0.01,18405.80862,0.736666667,0.215443469,469
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.02,0.013,1740,0.05,0,0,18405.80862,0.717,0,496
870,855,30,8,30,0,30,0,30,650,60,24,0.35,0.25,0.026,0.018,820,0.1,0,0,18405.80862,0.700666667,0,511
900,845,30,8,30,0,30,0,30,550,60,24,0.35,0.26,0.019,0.003,420,0,0,0.02,16331.0965,0.806666667,0.271441762,578
900,845,30,8,30,0,30,0,30,600,60,24,0.35,0.26,0.019,0.003,420,0,0,0.02,17368.45256,0.806666667,0.271441762,540
900,845,30,8,30,0,30,0,30,650,60,24,0.35,0.26,0.019,0.003,420,0,0,0.02,18405.80862,0.806666667,0.271441762,503
865,865,30,24,30,0,30,0,30,550,60,24,0.36,0.26,0.009,0.023,610,0.07,0,0.03,16285.4418,0.512,0.310723251,394
865,865,30,24,30,0,30,0,30,600,60,24,0.36,0.26,0.009,0.023,610,0.07,0,0.03,17319.89786,0.512,0.310723251,379
865,865,30,24,30,0,30,0,30,650,60,24,0.36,0.26,0.009,0.023,610,0.07,0,0.03,18354.35392,0.512,0.310723251,338
870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.3,0.017,0.016,820,0.08,0,0.01,16285.4418,0.731666667,0.215443469,587
870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.27,0.012,0.007,1120,0,0,0.01,16285.4418,0.736333333,0.215443469,578
870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.23,0.014,0.022,530,0.02,0,0,16285.4418,0.733666667,0,526
870,855,30,8,30,0,30,0,30,550,60,24,0.36,0.35,0.016,0.02,740,0.02,0,0.01,16285.4418,0.718666667,0.215443469,572
870,855,30,8,30,0,30,0,30,600,60,24,0.36,0.3,0.017,0.016,820,0.08,0,0.01,17319.89786,0.731666667,0.215443469,552
